77.69 28.73
45.01 -91.23 34.42
45.26 -91.30 34.43
44.95 -91.22 34.43
45.38 -90.53 34.45
46.60 -90.40 34.48
45.37 -91.69 34.51
45.37 -91.74 34.52
45.54 -91.78 34.51
43.52 -89.58 34.51
45.73 -90.99 34.52
45.39 -91.21 34.53
44.64 -91.74 34.54
44.72 -91.14 34.54
44.97 -91.47 34.56
44.83 -91.86 34.60
44.83 -91.83 34.62
44.83 -91.97 34.62
44.93 -91.74 34.62
44.95 -92.07 34.61
44.86 -92.00 34.60
44.98 -91.65 34.61
44.98 -92.11 34.62
44.94 -92.28 34.63
44.97 -92.28 34.63
44.91 -92.02 34.64
44.80 -91.98 34.65
44.85 -91.90 34.65
44.95 -92.24 34.66
45.06 -92.27 34.66
44.81 -92.09 34.67
44.98 -92.26 34.68
44.98 -92.27 34.69
45.06 -92.20 34.70
45.12 -92.22 34.71
45.08 -92.27 34.72
45.03 -92.31 34.73
45.07 -92.26 34.73
45.14 -92.25 34.74
45.14 -92.19 34.75
45.09 -92.31 34.75
45.20 -92.33 34.76
45.26 -92.27 34.77
45.28 -92.31 34.77
45.30 -92.31 34.78
45.28 -92.38 34.79
45.30 -92.32 34.80
45.45 -92.31 34.80
45.49 -92.34 34.81
45.51 -92.37 34.82
45.56 -92.41 34.82
45.43 -92.53 34.84
45.34 -92.55 34.85
45.33 -92.54 34.86
45.40 -92.55 34.87
45.26 -92.30 34.87
45.41 -92.56 34.88
45.34 -92.43 34.89
45.39 -92.44 34.90
45.52 -92.53 34.90
45.67 -92.63 34.91
45.72 -92.67 34.92
45.65 -92.56 34.93
45.59 -92.47 34.94
45.72 -92.59 34.94
45.81 -92.68 34.94
45.79 -92.64 34.95
45.70 -92.51 34.95
45.71 -92.56 34.95
45.67 -92.49 34.96
45.78 -92.65 34.96
45.72 -92.62 34.97
45.68 -92.65 34.97
45.76 -92.83 34.98
45.69 -92.85 34.98
45.74 -92.90 34.99
45.60 -92.95 34.99
45.67 -93.00 35.00
45.51 -93.04 35.01
45.56 -93.01 35.02
45.41 -92.98 35.03
45.46 -93.11 35.03
45.13 -93.11 35.04
45.30 -93.21 35.04
45.05 -93.22 35.04
45.07 -93.33 35.05
45.04 -93.25 35.06
44.93 -93.36 35.07
44.73 -93.22 35.07
45.04 -93.13 35.08
44.98 -93.14 35.09
44.95 -93.19 35.10
44.84 -93.27 35.11
44.55 -93.43 35.11
44.73 -93.29 35.12
44.47 -93.44 35.13
44.30 -93.44 35.13
44.55 -93.27 35.14
44.42 -93.33 35.15
44.32 -93.34 35.16
44.41 -93.21 35.17
44.40 -93.15 35.18
44.31 -93.23 35.19
44.28 -93.24 35.19
44.21 -93.29 35.20
44.07 -93.43 35.21
43.89 -93.59 35.21
43.85 -93.65 35.22
43.91 -93.59 35.23
44.00 -93.54 35.24
43.96 -93.62 35.24
44.07 -93.53 35.25
44.07 -93.53 35.26
44.09 -93.57 35.27
44.02 -93.62 35.27
43.96 -93.74 35.28
43.87 -93.86 35.28
43.80 -93.96 35.29
43.95 -93.86 35.30
44.03 -93.89 35.31
44.09 -93.88 35.31
44.23 -93.97 35.33
44.25 -94.06 35.33
44.32 -93.95 35.34
44.48 -93.96 35.35
44.54 -94.00 35.36
44.45 -94.07 35.36
44.50 -94.13 35.36
44.52 -94.14 35.37
44.56 -94.14 35.38
44.74 -94.10 35.40
44.74 -94.12 35.41
44.72 -94.17 35.41
44.65 -94.15 35.42
44.66 -94.10 35.43
44.82 -94.25 35.44
44.78 -94.23 35.44
44.82 -94.28 35.45
44.90 -94.29 35.46
44.80 -94.20 35.47
44.95 -94.26 35.48
44.86 -94.27 35.48
45.11 -94.26 35.49
45.14 -94.31 35.50
45.19 -94.33 35.51
45.20 -94.37 35.52
